antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ASPECT_AMENITIES'}),frozenset({'SENTIMENT_POSITIVE'}),0.26706392199349943,0.40249187432286027,0.11267605633802817,0.4219066937119676,1.0482365499223312,1.0,0.005184997810850439,1.0335842314344907,0.06278426857695155,0.20233463035019456,0.032492979684761676,0.35092642895558
frozenset({'SENTIMENT_POSITIVE'}),frozenset({'ASPECT_AMENITIES'}),0.40249187432286027,0.26706392199349943,0.11267605633802817,0.27994616419919244,1.0482365499223312,1.0,0.005184997810850439,1.0178906653436075,0.07701461050282453,0.20233463035019456,0.017576215160169467,0.35092642895558
frozenset({'SENTIMENT_POSITIVE'}),"frozenset({'ASPECT_FOOD', 'ASPECT_SERVICE'})",0.40249187432286027,0.08342361863488625,0.03412784398699892,0.08479138627187079,1.0163954484277498,1.0,0.0005505153598480625,1.0014944872857052,0.026997078674322553,0.07553956834532374,0.001492257126402755,0.24694114768138992
"frozenset({'ASPECT_FOOD', 'ASPECT_SERVICE'})",frozenset({'SENTIMENT_POSITIVE'}),0.08342361863488625,0.40249187432286027,0.03412784398699892,0.40909090909090906,1.0163954484277498,1.0,0.0005505153598480625,1.011167597299775,0.017599159443131077,0.07553956834532374,0.011044259457677313,0.24694114768138992
frozenset({'ASPECT_ROOM'}),frozenset({'ASPECT_SERVICE'}),0.4848320693391116,0.3477789815817985,0.1706392199349946,0.35195530726256985,1.0120085626272648,1.0,0.002024816622042458,1.0064445025591213,0.023033398427720318,0.25777414075286414,0.006403236882644467,0.42130475643502324
frozenset({'ASPECT_SERVICE'}),frozenset({'ASPECT_ROOM'}),0.3477789815817985,0.4848320693391116,0.1706392199349946,0.49065420560747663,1.0120085626272646,1.0,0.002024816622042458,1.0114306161599094,0.01819332384116447,0.25777414075286414,0.01130143380799353,0.42130475643502324
frozenset({'ASPECT_SERVICE'}),"frozenset({'ASPECT_CLEANLINESS', 'ASPECT_ROOM'})",0.3477789815817985,0.23889490790899243,0.08342361863488625,0.23987538940809972,1.0041042377490976,1.0,0.00034099085721932265,1.0012898957426781,0.006266988825128366,0.16576964477933262,0.0012882340550548431,0.29454086930722445
frozenset({'ASPECT_SERVICE'}),frozenset({'ASPECT_CLEANLINESS'}),0.3477789815817985,0.23889490790899243,0.08342361863488625,0.23987538940809972,1.0041042377490976,1.0,0.00034099085721932265,1.0012898957426781,0.006266988825128366,0.16576964477933262,0.0012882340550548431,0.29454086930722445
frozenset({'ASPECT_CLEANLINESS'}),frozenset({'ASPECT_SERVICE'}),0.23889490790899243,0.3477789815817985,0.08342361863488625,0.3492063492063492,1.0041042377490974,1.0,0.00034099085721932265,1.002193272203578,0.005370430281462315,0.16576964477933262,0.002188472288140029,0.29454086930722445
"frozenset({'ASPECT_CLEANLINESS', 'ASPECT_ROOM'})",frozenset({'ASPECT_SERVICE'}),0.23889490790899243,0.3477789815817985,0.08342361863488625,0.3492063492063492,1.0041042377490974,1.0,0.00034099085721932265,1.002193272203578,0.005370430281462315,0.16576964477933262,0.002188472288140029,0.29454086930722445
